time,open,high,low,close
2024-08-26 08:00:00,64191.0,64203.0,63608.0,63653.0
2024-08-26 12:00:00,63618.0,64000.0,63610.0,63932.0
2024-08-26 16:00:00,63872.0,63934.0,63165.0,63607.0
2024-08-26 20:00:00,63535.0,63809.0,63244.0,63356.0
2024-08-27 00:00:00,63295.0,63547.0,62883.0,62923.0
2024-08-27 04:00:00,62872.0,63202.0,62693.0,62982.0
2024-08-27 08:00:00,62983.0,63187.0,62737.0,62884.0
2024-08-27 12:00:00,62916.0,62964.0,62287.0,62441.0
2024-08-27 16:00:00,62407.0,62460.0,61475.0,61652.0
2024-08-27 20:00:00,61675.0,62202.0,61524.0,61946.0
2024-08-28 00:00:00,62041.0,62041.0,58060.0,59527.0
2024-08-28 04:00:00,59404.0,59594.0,58904.0,59560.0
2024-08-28 08:00:00,59631.0,59631.0,58660.0,58660.0
2024-08-28 12:00:00,58620.0,60230.0,58620.0,60039.0
2024-08-28 16:00:00,59917.0,60144.0,58545.0,58970.0
2024-08-28 20:00:00,59029.0,59834.0,57968.0,59273.0
2024-08-29 00:00:00,58832.0,59443.0,58787.0,59015.0
2024-08-29 04:00:00,59042.0,59306.0,58928.0,59153.0
2024-08-29 08:00:00,59160.0,59712.0,59101.0,59649.0
2024-08-29 12:00:00,59581.0,60529.0,59369.0,60251.0
2024-08-29 16:00:00,60076.0,61150.0,60076.0,60781.0
2024-08-29 20:00:00,60866.0,60966.0,59008.0,59176.0
2024-08-30 00:00:00,59266.0,59665.0,58816.0,59352.0
2024-08-30 04:00:00,59374.0,59453.0,58922.0,59089.0
2024-08-30 08:00:00,59030.0,59574.0,58732.0,59268.0
2024-08-30 12:00:00,59270.0,59656.0,59270.0,59429.0
2024-08-30 16:00:00,59427.0,59820.0,58087.0,58225.0
2024-08-30 20:00:00,58044.0,59352.0,57905.0,58822.0
2024-08-31 00:00:00,58797.0,59259.0,58797.0,59156.0
2024-08-31 04:00:00,59110.0,59404.0,59110.0,59245.0
2024-08-31 08:00:00,59229.0,59335.0,59071.0,59106.0
2024-08-31 12:00:00,59107.0,59160.0,58838.0,59132.0
2024-08-31 16:00:00,59112.0,59230.0,58921.0,58983.0
2024-08-31 20:00:00,59018.0,59118.0,58840.0,58848.0
2024-09-01 00:00:00,58858.0,59130.0,58797.0,58960.0
2024-09-01 04:00:00,58957.0,59038.0,58309.0,58483.0
2024-09-01 08:00:00,58512.0,58594.0,57828.0,58397.0
2024-09-01 12:00:00,58455.0,58455.0,57892.0,58058.0
2024-09-01 16:00:00,58271.0,58357.0,57674.0,58191.0
2024-09-01 20:00:00,58178.0,58698.0,57908.0,58471.0
2024-09-02 00:00:00,58575.0,58608.0,57258.0,57358.0
2024-09-02 04:00:00,57298.0,57691.0,57276.0,57676.0
2024-09-02 08:00:00,57737.0,57927.0,57411.0,57491.0
2024-09-02 12:00:00,57529.0,58647.0,57529.0,58403.0
2024-09-02 16:00:00,58395.0,58752.0,58134.0,58591.0
2024-09-02 20:00:00,58551.0,58636.0,58305.0,58435.0
2024-09-03 00:00:00,58459.0,59337.0,58394.0,59109.0
2024-09-03 04:00:00,59120.0,59813.0,59099.0,59101.0
2024-09-03 08:00:00,59117.0,59263.0,58889.0,59098.0
2024-09-03 12:00:00,59127.0,59189.0,58736.0,59068.0
2024-09-03 16:00:00,59058.0,59295.0,57555.0,57760.0
2024-09-03 20:00:00,57727.0,58167.0,57599.0,58009.0
2024-09-04 00:00:00,58081.0,58209.0,57505.0,57505.0
2024-09-04 04:00:00,57519.0,57901.0,55747.0,56688.0
2024-09-04 08:00:00,56625.0,56874.0,56204.0,56730.0
2024-09-04 12:00:00,56745.0,56829.0,56446.0,56576.0
2024-09-04 16:00:00,56570.0,58120.0,56354.0,58120.0
2024-09-04 20:00:00,58156.0,58514.0,57672.0,57936.0
2024-09-05 00:00:00,58050.0,58388.0,57905.0,57988.0
2024-09-05 04:00:00,57978.0,58272.0,57036.0,57081.0
2024-09-05 08:00:00,57104.0,57250.0,56495.0,57155.0
2024-09-05 12:00:00,57142.0,57220.0,56661.0,56749.0
2024-09-05 16:00:00,56714.0,57241.0,55848.0,56125.0
2024-09-05 20:00:00,55978.0,56664.0,55862.0,55963.0
2024-09-06 00:00:00,56109.0,56225.0,55791.0,56132.0
2024-09-06 04:00:00,56164.0,56808.0,55967.0,56520.0
2024-09-06 08:00:00,56581.0,56708.0,55363.0,55767.0
2024-09-06 12:00:00,55799.0,56224.0,55638.0,56052.0
2024-09-06 16:00:00,55990.0,56894.0,53871.0,54088.0
2024-09-06 20:00:00,54009.0,54401.0,53278.0,53622.0
2024-09-07 00:00:00,53492.0,53923.0,52690.0,53923.0
2024-09-07 04:00:00,53955.0,54052.0,53745.0,53819.0
2024-09-07 08:00:00,53812.0,54391.0,53806.0,54222.0
2024-09-07 12:00:00,54261.0,54437.0,54192.0,54284.0
2024-09-07 16:00:00,54337.0,54815.0,54337.0,54815.0
2024-09-07 20:00:00,54774.0,54791.0,54090.0,54412.0
2024-09-08 00:00:00,54404.0,54404.0,53836.0,54151.0
2024-09-08 04:00:00,54150.0,54484.0,54027.0,54365.0
2024-09-08 08:00:00,54394.0,54566.0,54288.0,54423.0
2024-09-08 12:00:00,54424.0,54677.0,54349.0,54538.0
2024-09-08 16:00:00,54539.0,54571.0,53767.0,53767.0
2024-09-08 20:00:00,53740.0,54497.0,53723.0,54334.0
2024-09-09 00:00:00,54334.0,55231.0,54219.0,54792.0
2024-09-09 04:00:00,54865.0,55380.0,54772.0,55141.0
